0,1,2,3,4,5,6,7,8,9,label
0.0,-0.0024950704726083477,0.0,0.0,0.0,0.0,1.2010173201931351,1.2061703217113795,0.0,0.0,0
0.0,-0.0024995351740076353,0.0,0.0,0.0,0.0,1.4864493375134251,1.4915933901117084,0.0,0.0,0
0.0,0.006671833512121957,0.0,0.0,0.0,0.0,-0.030060805506612033,-0.024869206988228046,0.0,0.0,0
0.0,-0.002495140233567711,0.0,0.0,0.0,0.0,1.2046501987248404,1.209803086344372,0.0,0.0,0
0.0,-0.0024652127820006075,0.0,0.0,0.0,0.0,0.5138397384945367,0.5190142845375866,0.0,0.0,0
0.0,-0.0023187670880559946,0.0,0.0,0.0,0.0,0.11339177156061885,0.1185788725259869,0.0,0.0,0
-11.0,69.24601690646385,37.666666666666664,51.0,48.523809523809526,65.71428571428571,-0.03319405621996685,-0.028015493440756274,12.0,0.0,0
0.0,-0.002432669294457361,0.0,0.0,0.0,0.0,0.307226633784923,0.3124076576021002,0.0,0.0,0
0.0,45.26775939187,1.0,1.5,1.0,1.5,-0.033250568532896936,-0.028058870008443964,0.0,0.0,0
-11.0,17.606166387457144,3.6666666666666665,4.0,4.809523809523809,5.285714285714286,-0.03323066701579105,-0.02804396761141939,12.0,0.0,0
0.0,38.2070553060177,0.3333333333333333,0.5,0.3333333333333333,0.5,-0.03325162521799565,-0.028059926660413275,0.0,0.0,0
0.0,40.55913026988893,0.3333333333333333,1.5,0.3333333333333333,1.5,-0.03325099093076069,-0.02805929239306462,0.0,0.0,0
0.0,-0.0024660324732731346,0.0,0.0,0.0,0.0,0.5223316031821396,0.5275058829866011,0.0,0.0,0
0.0,-0.002496901697791652,0.0,0.0,0.0,0.0,1.304036716473267,1.3091864881074207,0.0,0.0,0
0.0,44.24740244631803,0.3333333333333333,0.5,0.3333333333333333,0.5,-0.03325183485398652,-0.0280601362898316,0.0,0.0,0
0.0,-0.002498279476739087,0.0,0.0,0.0,0.0,1.393643078065058,1.3987900403431857,0.0,0.0,0
0.0,-0.0024763396550191454,0.0,0.0,0.0,0.0,0.6570671779068894,0.6622372334554828,0.0,0.0,0
0.0,0.0005612094778425343,0.0,0.0,0.0,0.0,-0.023727376632540376,-0.01853597668104669,0.0,0.0,0
-11.0,0.211137298793915,3.0,6.0,3.9523809523809526,7.857142857142857,-0.03122274235624178,-0.02648229739509254,12.0,0.0,0
0.0,-0.0025001804628817545,0.0,0.0,0.0,0.0,1.5389997977407892,1.5441422027668528,0.0,0.0,0
0.0,-0.002469032194525784,0.0,0.0,0.0,0.0,0.5557911898177647,0.5609644205907771,0.0,0.0,0
0.0,0.007842875856483642,0.0,0.0,0.0,0.0,-0.03042159351800129,-0.025229983688121602,0.0,0.0,0
0.0,-0.002475833888063761,0.0,0.0,0.0,0.0,0.648949055511531,0.6541193655810721,0.0,0.0,0
0.0,-0.0025008606322355484,0.0,0.0,0.0,0.0,1.5984739639765608,1.603614504357031,0.0,0.0,0
-11.0,12.14763072336133,5.666666666666667,6.5,7.380952380952381,8.5,-0.033203485541384595,-0.028022827127480148,12.0,0.0,0
0.0,80.86739679881956,111.66666666666667,387.0,111.66666666666667,387.0,-0.03305162351963112,-0.02785993123254077,0.0,0.0,0
-11.0,88.23431495897681,10.333333333333334,24.5,13.380952380952381,31.642857142857142,-0.033235632764012424,-0.028047829738946047,12.0,0.0,0
0.0,-0.002474229385998395,0.0,0.0,0.0,0.0,0.6244132447551624,0.6295843240762005,0.0,0.0,0
0.0,-0.0023678613632083217,0.0,0.0,0.0,0.0,0.16107636033588663,0.16626196628477993,0.0,0.0,0
